ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
02,"COCLÉ",06,"PENONOMÉ",2023,"Censos de Población y Vivienda Década 2020",104326,"personas"
04,"CHIRIQUÍ",04,"BOQUETE",2023,"Censos de Población y Vivienda Década 2020",23562,"personas"
04,"CHIRIQUÍ",05,"BUGABA",2023,"Censos de Población y Vivienda Década 2020",68870,"personas"
04,"CHIRIQUÍ",06,"DAVID",2023,"Censos de Población y Vivienda Década 2020",156498,"personas"
04,"CHIRIQUÍ",10,"RENACIMIENTO",2023,"Censos de Población y Vivienda Década 2020",22429,"personas"
06,"HERRERA",04,"OCÚ",2023,"Censos de Población y Vivienda Década 2020",16116,"personas"
07,"LOS SANTOS",01,"GUARARÉ",2023,"Censos de Población y Vivienda Década 2020",12107,"personas"
07,"LOS SANTOS",07,"TONOSÍ",2023,"Censos de Población y Vivienda Década 2020",8959,"personas"
12,"COMARCA NGÄBE BUGLÉ",07,"KUSAPÍN",2023,"Censos de Población y Vivienda Década 2020",17047,"personas"
13,"PANAMÁ OESTE",03,"CAPIRA",2023,"Censos de Población y Vivienda Década 2020",45629,"personas"
04,"CHIRIQUÍ",11,"SAN FÉLIX",2023,"Censos de Población y Vivienda Década 2020",6881,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",2839177,"personas"
09,"VERAGUAS",09,"SANTA FE",2023,"Censos de Población y Vivienda Década 2020",18023,"personas"
11,"COMARCA EMBERÁ",02,"SAMBÚ",2023,"Censos de Población y Vivienda Década 2020",2811,"personas"
03,"COLÓN",05,"SANTA ISABEL",2023,"Censos de Población y Vivienda Década 2020",4111,"personas"
01,"BOCAS DEL TORO",03,"CHIRIQUÍ GRANDE",2023,"Censos de Población y Vivienda Década 2020",12495,"personas"
02,"COCLÉ",01,"AGUADULCE",2023,"Censos de Población y Vivienda Década 2020",49005,"personas"
02,"COCLÉ",02,"ANTÓN",2023,"Censos de Población y Vivienda Década 2020",59194,"personas"
09,"VERAGUAS",06,"MONTIJO",2023,"Censos de Población y Vivienda Década 2020",6784,"personas"
09,"VERAGUAS",08,"SAN FRANCISCO",2023,"Censos de Población y Vivienda Década 2020",10107,"personas"
13,"PANAMÁ OESTE",04,"CHAME",2023,"Censos de Población y Vivienda Década 2020",28535,"personas"
06,"HERRERA",02,"LAS MINAS",2023,"Censos de Población y Vivienda Década 2020",6642,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",3405813,"personas"
02,"COCLÉ",04,"NATÁ",2023,"Censos de Población y Vivienda Década 2020",19741,"personas"
01,"BOCAS DEL TORO",02,"CHANGUINOLA",2023,"Censos de Población y Vivienda Década 2020",101091,"personas"
01,"BOCAS DEL TORO",04,"ALMIRANTE",2023,"Censos de Población y Vivienda Década 2020",28368,"personas"
02,"COCLÉ",05,"OLÁ",2023,"Censos de Población y Vivienda Década 2020",6300,"personas"
08,"PANAMÁ",06,"CHIMÁN",2023,"Censos de Población y Vivienda Década 2020",3142,"personas"
