ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
04,"CHIRIQUÍ",10,"RENACIMIENTO",2023,"Censos de Población y Vivienda Década 2020",9902,"personas"
04,"CHIRIQUÍ",09,"REMEDIOS",2023,"Censos de Población y Vivienda Década 2020",2573,"personas"
04,"CHIRIQUÍ",08,"GUALACA",2023,"Censos de Población y Vivienda Década 2020",6021,"personas"
04,"CHIRIQUÍ",07,"DOLEGA",2023,"Censos de Población y Vivienda Década 2020",29169,"personas"
04,"CHIRIQUÍ",06,"DAVID",2023,"Censos de Población y Vivienda Década 2020",116662,"personas"
04,"CHIRIQUÍ",05,"BUGABA",2023,"Censos de Población y Vivienda Década 2020",43088,"personas"
04,"CHIRIQUÍ",04,"BOQUETE",2023,"Censos de Población y Vivienda Década 2020",15089,"personas"
04,"CHIRIQUÍ",03,"BOQUERÓN",2023,"Censos de Población y Vivienda Década 2020",12598,"personas"
04,"CHIRIQUÍ",02,"BARÚ",2023,"Censos de Población y Vivienda Década 2020",29683,"personas"
04,"CHIRIQUÍ",01,"ALANJE",2023,"Censos de Población y Vivienda Década 2020",9628,"personas"
03,"COLÓN",06,"OMAR TORRIJOS HERRERA",2023,"Censos de Población y Vivienda Década 2020",1154,"personas"
03,"COLÓN",05,"SANTA ISABEL",2023,"Censos de Población y Vivienda Década 2020",2669,"personas"
03,"COLÓN",04,"PORTOBELO",2023,"Censos de Población y Vivienda Década 2020",6853,"personas"
03,"COLÓN",03,"DONOSO",2023,"Censos de Población y Vivienda Década 2020",3124,"personas"
03,"COLÓN",02,"CHAGRES",2023,"Censos de Población y Vivienda Década 2020",5510,"personas"
03,"COLÓN",01,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",174767,"personas"
02,"COCLÉ",06,"PENONOMÉ",2023,"Censos de Población y Vivienda Década 2020",55472,"personas"
02,"COCLÉ",05,"OLÁ",2023,"Censos de Población y Vivienda Década 2020",2113,"personas"
02,"COCLÉ",04,"NATÁ",2023,"Censos de Población y Vivienda Década 2020",9544,"personas"
02,"COCLÉ",03,"LA PINTADA",2023,"Censos de Población y Vivienda Década 2020",10168,"personas"
02,"COCLÉ",02,"ANTÓN",2023,"Censos de Población y Vivienda Década 2020",33212,"personas"
02,"COCLÉ",01,"AGUADULCE",2023,"Censos de Población y Vivienda Década 2020",31578,"personas"
01,"BOCAS DEL TORO",04,"ALMIRANTE",2023,"Censos de Población y Vivienda Década 2020",7818,"personas"
01,"BOCAS DEL TORO",03,"CHIRIQUÍ GRANDE",2023,"Censos de Población y Vivienda Década 2020",4018,"personas"
01,"BOCAS DEL TORO",02,"CHANGUINOLA",2023,"Censos de Población y Vivienda Década 2020",46317,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",2613321,"personas"
